Run Description:,asdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run date:,09-17-22-16-19-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outer Diameter (in),Dry mass (lbm),Wet Mass (lbm),Mass of Propellant Tanks (lbm),Burn time (s),Expected Isp (s),Max Alt (ft),Rail Speed (ft/s),Max Mach,Max Accel (g),Chamber Pressure (psi),O/F,Total Mass Flow (lbm/s),Thrust (lbf),Height of rocket (ft),Aspect Ratio,Fuel Tank Height (ft),Ox Tank Height (ft),Burnout Altitude (ft),Fuel Tank ID (in),Ox Tank ID (in),Expected C-Star (m/s),Total Throat Radius Ablation (in),Nozzle Exit Radius (in),Thrust to Weight Ratio,Fuel Tank Volume (in^3),Ox Tank Volume (in^3),Helium Tank Volume (L),Ambient Pressure at Half Burn (psi),Fuel Tank Pressure (psi),Ox Tank Pressure (psi),Ox Run Line Velocity (ft/s),Fuel Run Line Velocity (ft/s),Ox Run Line Size,Fuel Run Line Size,Exit Pressure (psi),Combustion Temperature (K),Altitude At t=10s (ft),COPV Mass (lbm),Throat Radius (in),Vehicle Return Index,FFC (%),FFC Diameter (in),Num FFC Holes
10,268.5492411,483.5531015,32.15891453,20,190.0550459,52610.16073,102.3507515,1.902139732,-3.903893317,155,1.1,9.9225,1885.821193,22.80102013,27.36122416,4.453897378,3.901289419,21001.17665,9.8,9.8,1718.28,0.21,3.288619056,3.899925752,3785.067,3284.870769,40,11.48670813,305.4775149,305.3530726,20.93080709,24.11799817,16,16,10.5,3266.11,6651.183826,39.68,1.889511741,1,0.105,1,1
9.5,265.0549097,480.05877,33.33347342,20,190.0550459,56574.32155,103.389837,1.971163852,4.004807289,155,1.1,9.9225,1885.821193,23.4273508,29.59244311,4.901738143,4.288112655,21434.41638,9.3,9.3,1718.28,0.21,3.288619056,3.928313178,3785.067,3284.870769,40,11.45961668,305.4775149,305.3530726,20.93080709,24.11799817,16,16,10.5,3266.11,6713.317948,39.68,1.889511741,2,0.105,1,1
10,270.3975292,495.8436395,33.58067458,21,190.0550459,56363.6443,100.5579051,1.965028997,-3.842050695,155,1.1,9.9225,1885.821193,23.19155725,27.8298687,4.662981136,4.082742779,22352.77969,9.8,9.8,1718.28,0.2205,3.288619056,3.803257806,3974.32035,3449.114308,40,11.35120229,305.4775149,305.3530726,20.93080709,24.11799817,16,16,10.5,3266.11,6493.282837,39.68,1.889511741,6,0.105,1,1
9.5,267.0036258,492.4497361,34.83248581,21,190.0550459,60739.31529,101.5337105,2.037030888,4.052220781,155,1.1,9.9225,1885.821193,23.86101,30.14022316,5.133908383,4.489601621,22817.49397,9.3,9.3,1718.28,0.2205,3.288619056,3.829469394,3974.32035,3449.114308,40,11.32324131,305.4775149,305.3530726,20.93080709,24.11799817,16,16,10.5,3266.11,6550.485819,39.68,1.889511741,7,0.105,1,1
10.5,274.4940263,499.9401366,32.50727386,21,190.0550459,52417.7193,100.2469352,1.89161759,-3.996434991,155,1.1,9.9225,1885.821193,22.65075387,25.88657585,4.26092953,3.735657668,21864.1396,10.3,10.3,1718.28,0.2205,3.288619056,3.772094006,3974.32035,3449.114308,40,11.38290228,305.4775149,305.3530726,20.93080709,24.11799817,16,16,10.5,3266.11,6428.199449,39.68,1.889511741,8,0.105,1,1
10,269.3707025,489.0155628,32.79080788,20,190.0550459,54203.52936,103.882976,1.942975113,-3.940000617,155,1.1,10.143,1927.72833,22.97459218,27.56951062,4.546823493,3.981935357,21323.84513,9.8,9.8,1718.28,0.21,3.324958491,3.942059265,3869.1796,3357.867897,40,11.455059,305.6007868,305.4707524,21.39593614,24.65395369,16,16,10.5,3266.11,6723.778277,39.68,1.910390958,36,0.105,1,1
9.5,265.9210057,485.5658661,33.99970115,20,190.0550459,58363.06954,103.9987193,2.013164634,4.136358993,155,1.1,10.143,1927.72833,23.62008822,29.83590091,5.004924917,4.377663307,21761.3322,9.3,9.3,1718.28,0.21,3.324958491,3.970065577,3869.1796,3357.867897,40,11.42817015,305.6007868,305.4707524,21.39593614,24.65395369,16,16,10.5,3266.11,6785.66938,39.68,1.910390958,37,0.105,1,1
10.5,273.5175246,493.1623849,31.75611871,20,190.0550459,50456.8023,102.6709374,1.871334209,-4.091141012,155,1.1,10.143,1927.72833,22.45434209,25.66210525,4.155775604,3.644399823,20863.53734,10.3,10.3,1718.28,0.21,3.324958491,3.908911931,3869.1796,3357.867897,40,11.48556639,305.6007868,305.4707524,21.39593614,24.65395369,16,16,10.5,3266.11,6653.740649,39.68,1.910390958,38,0.105,1,1
10,271.2600637,501.579224,34.24416261,21,190.0550459,58145.44452,102.0393902,2.007726631,3.935956286,155,1.1,10.143,1927.72833,23.3738079,28.04856948,4.760553556,4.167421013,22697.18433,9.8,9.8,1718.28,0.2205,3.324958491,3.843317742,4062.63858,3525.761292,40,11.3181635,305.6007868,305.4707524,21.39593614,24.65395369,16,16,10.5,3266.11,6562.22331,39.68,1.910390958,41,0.105,1,1
9.5,267.9130266,498.232187,35.53202492,21,190.0550459,62739.00051,102.1227145,2.08092735,4.181530033,155,1.1,10.143,1927.72833,24.0633843,30.39585385,5.242254496,4.583629806,23166.25883,9.3,9.3,1718.28,0.2205,3.324958491,3.86913648,4062.63858,3525.761292,40,11.2904092,305.6007868,305.4707524,21.39593614,24.65395369,16,16,10.5,3266.11,6619.11987,39.68,1.910390958,42,0.105,1,1
10.5,275.3142877,505.633448,33.13824418,21,190.0550459,53999.70846,100.8933902,1.932942559,-4.033753536,155,1.1,10.143,1927.72833,22.81573975,26.07513115,4.349258828,3.812314258,22202.98575,10.3,10.3,1718.28,0.2205,3.324958491,3.812501601,4062.63858,3525.761292,40,11.34978878,305.6007868,305.4707524,21.39593614,24.65395369,16,16,10.5,3266.11,6497.346795,39.68,1.910390958,43,0.105,1,1
11,280.0696214,510.3887817,32.19149241,21,190.0550459,50287.88133,100.4229351,1.857549344,-4.162921546,155,1.1,10.143,1927.72833,22.3653998,24.39861797,3.995639072,3.507260733,21690.35151,10.8,10.8,1718.28,0.2205,3.324958491,3.776980215,4062.63858,3525.761292,40,11.3848859,305.6007868,305.4707524,21.39593614,24.65395369,16,16,10.5,3266.11,6425.200185,39.68,1.910390958,44,0.105,1,1
10,273.1494248,514.1428851,35.69751733,22,190.0550459,62324.94557,100.2545908,2.07282072,3.980008284,155,1.1,10.143,1927.72833,23.77302362,28.52762835,4.97428362,4.35290667,24087.63121,9.8,9.8,1718.28,0.231,3.324958491,3.749401939,4256.09756,3693.654687,40,11.18259574,305.6007868,305.4707524,21.39593614,24.65395369,16,16,10.5,3266.11,6408.459471,39.68,1.910390958,46,0.105,1,1
9.5,269.9050476,510.8985079,37.06434869,22,190.0550459,67372.15787,100.3079986,2.148902537,4.229574996,155,1.1,10.143,1927.72833,24.50668038,30.95580679,5.479584075,4.789596304,24588.34784,9.3,9.3,1718.28,0.231,3.324958491,3.773211901,4256.09756,3693.654687,40,11.1541354,305.6007868,305.4707524,21.39593614,24.65395369,16,16,10.5,3266.11,6460.791469,39.68,1.910390958,47,0.105,1,1
10,270.1921639,494.4780242,33.42270124,20,190.0550459,55835.00782,104.4678579,1.983679271,4.009923019,155,1.1,10.3635,1969.635468,23.14816424,27.77779708,4.639749607,4.062581294,21642.31787,9.8,9.8,1718.28,0.21,3.360905033,3.983261887,3953.2922,3430.865026,40,11.42419097,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6794.949612,39.68,1.931044433,71,0.105,1,1
9.5,266.7871018,491.0729621,34.66592887,20,190.0550459,60197.99493,104.5481799,2.05507469,4.265886582,155,1.1,10.3635,1969.635468,23.81282565,30.07935871,5.10811169,4.467213959,22084.21983,9.3,9.3,1718.28,0.21,3.360905033,4.010881518,3953.2922,3430.865026,40,11.39750265,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6856.57619,39.68,1.931044433,72,0.105,1,1
10.5,274.2987259,498.5845863,32.35704283,20,190.0550459,51907.29776,103.2782655,1.910775207,-4.12897928,155,1.1,10.3635,1969.635468,22.61147151,25.84168173,4.239898745,3.717406099,21177.05287,10.3,10.3,1718.28,0.21,3.360905033,3.95045399,3953.2922,3430.865026,40,11.4544894,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6725.065313,39.68,1.931044433,73,0.105,1,1
10,272.1225981,507.3148084,34.90765063,21,190.0550459,59973.04487,102.6053561,2.050330396,4.063227194,155,1.1,10.3635,1969.635468,23.55605856,28.26727027,4.858125977,4.252099248,23037.13468,9.8,9.8,1718.28,0.2205,3.360905033,3.88247186,4150.95681,3602.408277,40,11.2859061,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6629.770773,39.68,1.931044433,76,0.105,1,1
9.5,268.8224275,504.0146378,36.23156403,21,190.0550459,64790.92124,102.6539935,2.124701476,4.311598309,155,1.1,10.3635,1969.635468,24.2657586,30.65148454,5.350600608,4.67765799,23510.62105,9.3,9.3,1718.28,0.2205,3.360905033,3.907893383,4150.95681,3602.408277,40,11.25849673,305.7267681,305.5910185,21.86106519,25.1899092,16,16,10.5,3266.11,6686.341276,39.68,1.931044433,77,0.105,1,1
