Run Description:,asdf
Run date:,09-17-22-16-36-17
Outer Diameter (in),Dry mass (lbm),Wet Mass (lbm),Mass of Propellant Tanks (lbm),Burn time (s),Expected Isp (s),Max Alt (ft),Rail Speed (ft/s),Max Mach,Max Accel (g),Chamber Pressure (psi),O/F,Total Mass Flow (lbm/s),Thrust (lbf),Height of rocket (ft),Aspect Ratio,Fuel Tank Height (ft),Ox Tank Height (ft),Burnout Altitude (ft),Fuel Tank ID (in),Ox Tank ID (in),Expected C-Star (m/s),Total Throat Radius Ablation (in),Nozzle Exit Radius (in),Thrust to Weight Ratio,Fuel Tank Volume (in^3),Ox Tank Volume (in^3),Helium Tank Volume (L),Ambient Pressure at Half Burn (psi),Fuel Tank Pressure (psi),Ox Tank Pressure (psi),Ox Run Line Velocity (ft/s),Fuel Run Line Velocity (ft/s),Ox Run Line Size,Fuel Run Line Size,Exit Pressure (psi),Combustion Temperature (K),Altitude At t=10s (ft),COPV Mass (lbm),Throat Radius (in),Vehicle Return Index,FFC (%),FFC Diameter (in),Num FFC Holes
10,279.294747628134,494.29860794928,40.4246887415243,20,190.05504587156,50916.816270547,100.996633427409,1.84308666640431,-3.73556760193632,155,1.1,9.9225,1885.82119266055,22.8785579413555,27.4542695296266,4.49550743710023,3.93721717092196,20469.8043502082,9.75,9.75,1718.28,0.21,3.28861905604633,3.81514566768526,3785.067,3284.87076923077,40,11.5472085368946,305.477514868817,305.353072626247,20.9308070935736,24.1179981737314,16,16,10.5,3266.11,6512.70689111101,39.68,1.88951174124238,1,0.105,1,1
10,280.329513234643,499.974373555789,41.2206622849926,20,190.05504587156,52407.0481054227,101.620866217536,1.88167250591947,-3.76655076448013,155,1.1,10.143,1927.72833027523,23.0539147844968,27.6646977413961,4.58938908385061,4.01869236731282,20778.4446403587,9.75,9.75,1718.28,0.21,3.32495849132449,3.85565427396876,3869.1796,3357.8678974359,40,11.5167116258537,305.600786833292,305.470752371427,21.3959361400975,24.6539536887032,16,16,10.5,3266.11,6582.41537894644,39.68,1.91039095785519,8,0.105,1,1
10,281.364278841152,505.650139162298,42.016635828461,20,190.05504587156,53928.9424263818,103.073255769314,1.92010500217705,3.83600924959806,155,1.1,10.3635,1969.63546788991,23.229271627638,27.8751259531656,4.68327073060098,4.10016756370368,21083.1313979599,9.75,9.75,1718.28,0.21,3.36090503321213,3.89525348722927,3953.2922,3430.86502564103,40,11.486850853288,305.726768071712,305.591018484632,21.8610651866213,25.189909203675,16,16,10.5,3266.11,6650.72417006667,39.68,1.93104443330985,15,0.105,1,1
10,283.795978016448,518.988188337594,43.8871736556117,21,190.05504587156,57727.8511845739,101.119130715846,1.9812094227208,3.86668228040714,155,1.1,10.3635,1969.63546788991,23.6413602090199,28.3696322508239,4.90389260046437,4.2916342752222,22418.7645878599,9.75,9.75,1718.28,0.2205,3.36090503321213,3.79514507680605,4150.95681,3602.40827692308,40,11.3540297325901,305.726768071712,305.591018484632,21.8610651866213,25.189909203675,16,16,10.5,3266.11,6486.57173815063,39.68,1.93104443330985,16,0.105,1,1
10,282.399044447661,511.325904768807,42.8126093719294,20,190.05504587156,55483.5247009752,103.595183336385,1.95837111997373,3.9535766453984,155,1.1,10.584,2011.54260550459,23.4046284707792,28.0855541649351,4.77715237735136,4.18164276009454,21383.7077527139,9.75,9.75,1718.28,0.21,3.39647115629007,3.93397359051092,4037.4048,3503.86215384615,40,11.4577649448744,305.855458584076,305.713870965863,22.3261942331452,25.7258647186468,16,16,10.5,3266.11,6717.68292973433,39.68,1.95147933501203,22,0.105,1,1
10,284.882481903282,524.947742224428,44.7229458762534,21,190.05504587156,59461.0244828484,101.623140988215,2.02114646168565,3.98908443642731,155,1.1,10.584,2011.54260550459,23.8254848943182,28.5905818731818,5.00246832955226,4.3771832314326,22739.0904889969,9.75,9.75,1718.28,0.2205,3.39647115629007,3.83189114592782,4239.27504,3679.05526153846,40,11.323664549211,305.855458584076,305.713870965863,22.3261942331452,25.7258647186468,16,16,10.5,3266.11,6550.02705203975,39.68,1.95147933501203,23,0.105,1,1
10,283.43381005417,517.001670375316,43.6085829153977,20,190.05504587156,57073.3480373131,104.06235551597,1.99650674718554,4.07722758833256,155,1.1,10.8045,2053.44974311927,23.5799853139205,28.2959823767046,4.87103402410173,4.2631179564854,21680.3888300938,9.75,9.75,1718.28,0.21,3.43166868866303,3.97184353704036,4121.5174,3576.85928205128,40,11.4291651258869,305.986858370385,305.839309815121,22.791323279669,26.2618202336186,16,16,10.5,3266.11,6783.32977068519,39.68,1.97170245892758,29,0.105,1,1
10,285.968985790116,530.907296111262,45.5587180968952,21,190.05504587156,61234.3842866177,102.074056854756,2.06092726996158,4.11020066381913,155,1.1,10.8045,2053.44974311927,24.0096095796165,28.8115314955398,5.10104405864015,4.462732187643,23055.1034510504,9.75,9.75,1718.28,0.2205,3.43166868866303,3.8678122492574,4327.59327,3755.70224615385,40,11.2940690475087,305.986858370385,305.839309815121,22.791323279669,26.2618202336186,16,16,10.5,3266.11,6612.20072371473,39.68,1.97170245892758,30,0.105,1,1
10,288.504161526063,544.812921847209,47.5088532783927,22,190.05504587156,65625.859074083,100.154623966987,2.12538820592468,4.14645657405763,155,1.1,10.8045,2053.44974311927,24.4392338453125,29.327080614375,5.33105409317857,4.6623464188006,24444.3003058601,9.75,9.75,1718.28,0.231,3.43166868866303,3.76909148218615,4533.66914,3934.54521025641,40,11.1602689359134,305.986858370385,305.839309815121,22.791323279669,26.2618202336186,16,16,10.5,3266.11,6449.73773279398,39.68,1.97170245892758,31,0.105,1,1
10,284.468575660679,522.677435981825,44.4045564588661,20,190.05504587156,58699.9815053144,104.476616686707,2.03453407619994,4.18892938540205,155,1.1,11.025,2095.35688073394,23.7553421570617,28.506410588474,4.96491567085211,4.34459315287625,21973.4488497308,9.75,9.75,1718.28,0.21,3.46650885791311,4.00889102242938,4205.63,3649.85641025641,40,11.4013324389999,306.120967430638,305.967335032404,23.2564523261929,26.7977757485905,16,16,10.5,3266.11,6847.70326753055,39.68,1.99172025598555,36,0.105,1,1
10,287.055489676951,536.866849998097,46.394490317537,21,190.05504587156,63048.5722178635,102.473667209832,2.10056999522405,4.23194482919374,155,1.1,11.025,2095.35688073394,24.1937342649148,29.0324811178977,5.19961978772805,4.5482811438534,23367.0695973586,9.75,9.75,1718.28,0.2205,3.46650885791311,3.90293585968546,4415.9115,3832.34923076923,40,11.2649576676459,306.120967430638,305.967335032404,23.2564523261929,26.7977757485905,16,16,10.5,3266.11,6673.13502484376,39.68,1.99172025598555,37,0.105,1,1
10,289.642403693223,551.056264014369,48.3844241762079,22,190.05504587156,67644.307146834,100.540937587826,2.16669669217307,4.27741441023865,155,1.1,11.025,2095.35688073394,24.6321263727679,29.5585516473214,5.43432390460399,4.75196913483055,24775.6446084195,9.75,9.75,1718.28,0.231,3.46650885791311,3.80243727830904,4626.193,4014.84205128205,40,11.1301850191693,306.120967430638,305.967335032404,23.2564523261929,26.7977757485905,16,16,10.5,3266.11,6507.49435412747,39.68,1.99172025598555,38,0.105,1,1
10,285.503341267187,528.353201588333,45.2005300023345,20,190.05504587156,60362.1240749793,105.773021837834,2.07241211310527,4.31112605808697,155,1.1,11.2455,2137.26401834862,23.9306990002029,28.7168388002435,5.05879731760248,4.42606834926711,22262.6195896592,9.75,9.75,1718.28,0.21,3.50100233293693,4.04514255222376,4289.7426,3722.85353846154,40,11.3739794174942,306.257785764836,306.097946617713,23.7215813727168,27.3337312635623,16,16,10.5,3266.11,6910.84209114438,39.68,2.01153885611618,43,0.105,1,1
10,288.141993563785,542.826403884931,47.2302625381788,21,190.05504587156,64906.0934703735,103.723296610885,2.14008771884189,4.35421504149447,155,1.1,11.2455,2137.26401834862,24.3778589502131,29.2534307402557,5.29819551681594,4.6338301000638,23675.1822032362,9.75,9.75,1718.28,0.2205,3.50100233293693,3.93728824363098,4504.22973,3908.99621538461,40,11.2366080671648,306.257785764836,306.097946617713,23.7215813727168,27.3337312635623,16,16,10.5,3266.11,6732.86675645051,39.68,2.01153885611618,44,0.105,1,1
10,290.780645860383,557.299606181529,49.2599950740231,22,190.05504587156,69710.4288753588,101.746815993584,2.20783286018092,4.39974646441077,155,1.1,11.2455,2137.26401834862,24.8250189002232,29.7900226802679,5.5375937160294,4.84159185086049,25102.6689486129,9.75,9.75,1718.28,0.231,3.50100233293693,3.83503593873428,4718.71686,4095.13889230769,40,11.1008609259021,306.257785764836,306.097946617713,23.7215813727168,27.3337312635623,16,16,10.5,3266.11,6564.07863916216,39.68,2.01153885611618,45,0.105,1,1
10,286.538106873696,534.028967194842,45.9965035458028,20,190.05504587156,62061.4437437815,106.097521053689,2.11015682703293,4.43394058578226,155,1.1,11.466,2179.1711559633,24.1060558433442,28.927267012013,5.15267896435286,4.50754354565797,22548.2773655396,9.75,9.75,1718.28,0.21,3.53515926210823,4.08062350514448,4373.8552,3795.85066666667,40,11.3472448187512,306.397313372978,306.231144571048,24.1867104192406,27.8696867785341,16,16,10.5,3266.11,6972.77425252527,39.68,2.03116409017767,50,0.105,1,1
10,289.228497450619,548.785957771765,48.0660347588206,21,190.05504587156,66805.1956450856,104.035721619481,2.17942814748373,4.47705865336841,155,1.1,11.466,2179.1711559633,24.5619836355114,29.4743803626137,5.39677124590384,4.7193790562742,23979.2839578989,9.75,9.75,1718.28,0.2205,3.53515926210823,3.97089452654982,4592.54796,3985.6432,40,11.2087360180402,306.397313372978,306.231144571048,24.1867104192406,27.8696867785341,16,16,10.5,3266.11,6791.43509991727,39.68,2.03116409017767,51,0.105,1,1
10,291.918888027542,563.542948348688,50.1355659718383,22,190.05504587156,71825.072114241,102.048417189968,2.24880251365828,4.52254119076088,155,1.1,11.466,2179.1711559633,25.0179114276786,30.0214937132143,5.64086352745481,4.93121456689043,25425.460233009,9.75,9.75,1718.28,0.231,3.53515926210823,3.86691229541383,4811.24072,4175.43573333333,40,11.0720150253204,306.397313372978,306.231144571048,24.1867104192406,27.8696867785341,16,16,10.5,3266.11,6619.53178956242,39.68,2.03116409017767,52,0.105,1,1
10,287.572872480205,539.704732801351,46.7924770892712,20,190.05504587156,63797.2542583046,106.373727492042,2.14774266665361,4.55732682773925,155,1.1,11.6865,2221.07829357798,24.2814126864854,29.1376952237825,5.24656061110324,4.58901874204883,22830.3371097199,9.75,9.75,1718.28,0.21,3.56898930815286,4.11535819233865,4457.9678,3868.8477948718,40,11.3209842799443,306.539550255065,306.366928892409,24.6518394657645,28.4056422935059,16,16,10.5,3266.11,7033.52428761952,39.68,2.05060150999392,57,0.105,1,1
10,290.315001337454,554.7455116586,48.9018069794624,21,190.05504587156,68748.8840056404,104.301442295763,2.2186358068625,4.60032552017921,155,1.1,11.6865,2221.07829357798,24.7461083208097,29.6953299849716,5.49534697499173,4.80492801248461,24279.6840858614,9.75,9.75,1718.28,0.2205,3.56898930815286,4.00377875422068,4680.86619,4062.29018461538,40,11.1816181873616,306.539550255065,306.366928892409,24.6518394657645,28.4056422935059,16,16,10.5,3266.11,6848.87177278933,39.68,2.05060150999392,58,0.105,1,1
10,293.057130194702,569.786290515848,51.0111368696535,22,190.05504587156,73989.5196441499,102.304830512101,2.28961677469311,4.64574674093033,155,1.1,11.6865,2221.07829357798,25.2108039551339,30.2529647461607,5.74413333888022,5.02083728292038,25744.3207216409,9.75,9.75,1718.28,0.231,3.56898930815286,3.89809009193106,4903.76458,4255.73257435897,40,11.0439210898822,306.539550255065,306.366928892409,24.6518394657645,28.4056422935059,16,16,10.5,3266.11,6673.88574867325,39.68,2.05060150999392,59,0.105,1,1
10,288.607638086714,545.38049840786,47.5884506327396,20,190.05504587156,65571.992027769,107.569212671881,2.18518194296224,4.6712108865339,155,1.1,11.907,2262.98543119266,24.4567695296266,29.348123435552,5.34044225785361,4.67049393843969,23109.047945489,9.75,9.75,1718.28,0.21,3.60250168007584,4.14936991293058,4542.0804,3941.84492307692,40,11.2953361401585,306.684496411096,306.505299581796,25.1169685122883,28.9415978084777,16,16,10.5,3266.11,7093.12444425075,39.68,2.06985640669864,64,0.105,1,1
10,291.401505224288,560.705065545434,49.7375792001042,21,190.05504587156,70735.3950042762,105.452565878184,2.25765906627126,4.72415232630937,155,1.1,11.907,2262.98543119266,24.930233006108,29.9162796073296,5.59392270407962,4.89047696869501,24576.3515638687,9.75,9.75,1718.28,0.2205,3.60250168007584,4.03596395012289,4769.18442,4138.93716923077,40,11.1549716277482,306.684496411096,306.505299581796,25.1169685122883,28.9415978084777,16,16,10.5,3266.11,6905.20904765051,39.68,2.06985640669864,65,0.105,1,1
10,289.642403693223,551.056264014369,48.3844241762079,20,190.05504587156,67385.5891821143,107.763646287388,2.22248808176398,4.79557603719403,155,1.1,12.1275,2304.89256880734,24.6321263727679,29.5585516473214,5.43432390460399,4.75196913483055,23384.4411773921,9.75,9.75,1718.28,0.21,3.63570516243947,4.18268100613994,4626.193,4014.84205128205,40,11.2701566863785,306.832151841072,306.646256639209,25.5820975588122,29.4775533234495,16,16,10.5,3266.11,7151.60045163791,39.68,2.08893382755736,71,0.105,1,1
10,292.488009111122,566.664619432268,50.5733514207459,21,190.05504587156,72767.2074624637,105.639059851253,2.29653977595344,4.83868648599666,155,1.1,12.1275,2304.89256880734,25.1143576914063,30.1372292296875,5.69249843316752,4.97602592490541,24869.4586395753,9.75,9.75,1718.28,0.2205,3.63570516243947,4.06747216919343,4857.50265,4215.58415384615,40,11.1289329491666,306.832151841072,306.646256639209,25.5820975588122,29.4775533234495,16,16,10.5,3266.11,6960.47412585375,39.68,2.08893382755736,72,0.105,1,1
10,290.677169299732,556.732029620878,49.1803977196763,20,190.05504587156,69237.267972374,107.913935300302,2.25960171937726,4.92036628794559,155,1.1,12.348,2346.79970642202,24.8074832159091,29.7689798590909,5.52820555135436,4.83344433122141,23656.3687744827,9.75,9.75,1718.28,0.21,3.66860814225625,4.21531290021186,4710.3056,4087.83917948718,40,11.2455838592946,306.982516544992,306.789800064647,26.047226605336,30.0135088384213,16,16,10.5,3266.11,7208.9780300943,39.68,2.10783859141907,78,0.105,1,1
10,291.711934906241,562.407795227387,49.9763712631447,20,190.05504587156,71129.6767458473,109.018178873812,2.29658364291685,5.03553969247637,155,1.1,12.5685,2388.7068440367,24.9828400590503,29.9794080708604,5.62208719810474,4.91491952761227,23925.3115119828,9.75,9.75,1718.28,0.21,3.70121863372979,4.24728615838427,4794.4182,4160.83630769231,40,11.2214745728136,307.135590522857,306.935929858112,26.5123556518599,30.5494643533931,16,16,10.5,3266.11,7265.29379188521,39.68,2.12657530293135,85,0.105,1,1
10,292.74670051275,568.083560833896,50.772344806613,20,190.05504587156,73062.0258326787,109.093787934418,2.33340064948379,5.16113525866459,155,1.1,12.789,2430.61398165138,25.1581969021916,30.1898362826299,5.71596884485511,4.99639472400312,24191.0245870288,9.75,9.75,1718.28,0.21,3.73354430105074,4.27862052209969,4878.5308,4233.83343589744,40,11.1978265788513,307.291373774666,307.084646019603,26.9774846983838,31.0854198683649,16,16,10.5,3266.11,7320.56927266367,39.68,2.14514836563806,92,0.105,1,1
10,280.278157391448,500.254517712594,41.1811577902271,20,190.17247706422,52515.6308634434,101.607984411673,1.88498396793095,-3.77480845770084,155,1.15,10.1475,1929.77521100917,23.045211752155,27.654254102586,4.49550743710023,4.10387098172145,20795.5743610545,9.75,9.75,1716.48,0.21,3.34424663549912,3.8575867736948,3785.067,3434.18307692308,40,11.5161395384492,305.477514868817,305.596546579101,21.8822074160088,24.1179981737314,16,16,10.5,3302.87,6583.59602637603,39.68,1.90981358081399,183,0.105,1,1
10,281.334776548253,506.062636869398,41.9939417569999,20,190.17247706422,54076.7600798917,102.204718331074,1.92431226046728,3.85024425744091,155,1.15,10.373,1972.65910458716,23.224272013314,27.8691264159768,4.58938908385061,4.18904959613007,21106.9511539227,9.75,9.75,1716.48,0.21,3.38120075882377,3.89805324651195,3869.1796,3510.49825641026,40,11.4857091042563,305.600786833292,305.725167622902,22.3684786919201,24.6539536887032,16,16,10.5,3302.87,6653.37799944602,39.68,1.93091713395608,190,0.105,1,1
10,283.765000608903,519.421310930049,43.8633448805775,21,190.17247706422,57899.3439756298,101.134398920278,1.98577295027325,3.88143621324942,155,1.15,10.373,1972.65910458716,23.6361106139797,28.3633327367757,4.80531687137647,4.38496040926991,22445.2657197251,9.75,9.75,1716.48,0.2205,3.38120075882377,3.79780163631525,4062.63858,3686.02316923077,40,11.3527573110819,305.600786833292,305.725167622902,22.3684786919201,24.6539536887032,16,16,10.5,3302.87,6489.01288205119,39.68,1.93091713395608,191,0.105,1,1
10,282.391395705057,511.870756026203,42.8067257237728,20,190.17247706422,55672.2394306193,103.642176007433,1.96348573396778,3.96988050110682,155,1.15,10.5985,2015.54299816514,23.403332274473,28.0839987293676,4.68327073060098,4.2742282105387,21414.2344546727,9.75,9.75,1716.48,0.21,3.41775534289594,3.93760138557703,3953.2922,3586.81343589744,40,11.4559134543232,305.726768071712,305.856615502831,22.8547499678314,25.189909203675,16,16,10.5,3302.87,6721.74530863407,39.68,1.95179252046644,197,0.105,1,1
10,284.874450723548,525.519836044694,44.7167680456891,21,190.17247706422,59679.0705888928,101.666356536485,2.02666145109104,4.01540428978779,155,1.15,10.5985,2015.54299816514,23.8241238881967,28.588948665836,4.90389260046437,4.47439795439896,22772.6589443398,9.75,9.75,1716.48,0.2205,3.41775534289594,3.83533191313014,4150.95681,3766.15410769231,40,11.3218306252621,305.726768071712,305.856615502831,22.8547499678314,25.189909203675,16,16,10.5,3302.87,6553.79850192584,39.68,1.95179252046644,198,0.105,1,1
10,283.448014861862,517.678875183008,43.6195096905457,20,190.17247706422,57304.9681828157,104.136532063494,2.00252430297492,4.09561401207218,155,1.15,10.824,2058.42689174312,23.582392535632,28.2988710427584,4.77715237735136,4.35940682494732,21717.3891896499,9.75,9.75,1716.48,0.21,3.45392307330621,3.97626210073848,4037.4048,3663.12861538462,40,11.4268910096077,305.855458584076,305.990890218888,23.3410212437427,25.7258647186468,16,16,10.5,3302.87,6788.74435688637,39.68,1.97244698476089,204,0.105,1,1
10,285.983900838193,531.618361159339,45.5701912108006,21,190.17247706422,61500.6657041779,102.143443059852,2.06739745652665,4.13873755252256,155,1.15,10.824,2058.42689174312,24.0121371624136,28.8145645948963,5.00246832955226,4.56383549952802,23095.6867800319,9.75,9.75,1716.48,0.2205,3.45392307330621,3.87200112361461,4239.27504,3846.28504615385,40,11.2915352074975,305.855458584076,305.990890218888,23.3410212437427,25.7258647186468,16,16,10.5,3302.87,6617.25057768281,39.68,1.97244698476089,205,0.105,1,1
10,288.519786814525,545.557847135671,47.5208727310555,22,190.17247706422,65931.3033113101,100.219543144617,2.13231356774223,4.17528096666421,155,1.15,10.824,2058.42689174312,24.4418817891952,29.3302581470343,5.22778428175316,4.76826417410872,24488.6589251625,9.75,9.75,1716.48,0.231,3.45392307330621,3.77306806702613,4441.14528,4029.44147692308,40,11.1577594308202,305.855458584076,305.990890218888,23.3410212437427,25.7258647186468,16,16,10.5,3302.87,6454.45151000373,39.68,1.97244698476089,206,0.105,1,1
10,284.504634018667,523.486994339813,44.4322936573185,20,190.17247706422,58975.7352393299,104.576249184441,2.04144459544377,4.21933986317767,155,1.15,11.0495,2101.3107853211,23.761452796791,28.5137433561492,4.87103402410173,4.44458543935594,22016.7282258352,9.75,9.75,1716.48,0.21,3.4897159782338,4.01406493005836,4121.5174,3739.4437948718,40,11.3983536235703,305.986858370385,306.127991771072,23.827292519654,26.2618202336186,16,16,10.5,3302.87,6854.41921493333,39.68,1.99288739582444,211,0.105,1,1
10,287.093350952838,537.716886273984,46.4236143759121,21,190.17247706422,63365.2402788975,102.567549171816,2.10796963428887,4.26266904916798,155,1.15,11.0495,2101.3107853211,24.2001504366306,29.0401805239567,5.10104405864015,4.65327304465708,23414.4681965439,9.75,9.75,1716.48,0.2205,3.4897159782338,3.90783856516348,4327.59327,3926.41598461539,40,11.261867279984,305.986858370385,306.127991771072,23.827292519654,26.2618202336186,16,16,10.5,3302.87,6679.40876511027,39.68,1.99288739582444,212,0.105,1,1
10,289.68206788701,551.946778208156,48.4149350945056,22,190.17247706422,68004.6161341931,100.629450018029,2.17457194994332,4.29935458286746,155,1.15,11.0495,2101.3107853211,24.6388480764701,29.5666176917641,5.33105409317857,4.86196064995821,24826.9954668553,9.75,9.75,1716.48,0.231,3.4897159782338,3.80708950261982,4533.66914,4113.38817435897,40,11.1271246049584,305.986858370385,306.127991771072,23.827292519654,26.2618202336186,16,16,10.5,3302.87,6513.36320110835,39.68,1.99288739582444,213,0.105,1,1
10,285.561253175471,529.295113496617,45.2450776240914,20,190.17247706422,60684.5217197243,104.963121457392,2.08021102547423,4.3437316803171,155,1.15,11.275,2144.19467889908,23.94051305795,28.72861566954,4.96491567085211,4.52976405376457,22312.1494969299,9.75,9.75,1716.48,0.21,3.52514547517738,4.05103811507753,4205.63,3815.75897435897,40,11.3705817235179,306.120967430638,306.267920159384,24.3135637955653,26.7977757485905,16,16,10.5,3302.87,6918.80168797032,39.68,2.01312027389809,218,0.105,1,1
