Run Description:,975in
Run date:,01-25-23-16-18-27
Outer Diameter (in),Dry mass (lbm),Wet Mass (lbm),Mass of Propellant Tanks (lbm),Burn time (s),Expected Isp (s),Max Alt (ft),Rail Speed (ft/s),Max Mach,Max Accel (g),Chamber Pressure (psi),O/F,Total Mass Flow (lbm/s),Thrust (lbf),Height of rocket (ft),Aspect Ratio,Fuel Tank Height (ft),Ox Tank Height (ft),Burnout Altitude (ft),Fuel Tank ID (in),Ox Tank ID (in),Expected C-Star (m/s),Total Throat Radius Ablation (in),Nozzle Exit Radius (in),Thrust to Weight Ratio,Fuel Tank Volume (in^3),Ox Tank Volume (in^3),Helium Tank Volume (L),Ambient Pressure at Half Burn (psi),Fuel Tank Pressure (psi),Ox Tank Pressure (psi),Ox Run Line Velocity (ft/s),Fuel Run Line Velocity (ft/s),Ox Run Line Size,Fuel Run Line Size,Exit Pressure (psi),Combustion Temperature (K),Altitude At t=10s (ft),COPV Mass (lbm),Throat Radius (in),Vehicle Return Index,FFC (%),FFC Diameter (in),Num FFC Holes
9.75,275.461724591407,394.397552111051,24.4515869366213,10,192.939449541284,29184.2137116301,126.137146702708,1.32428688519682,4.68547841304284,170,1.2,10.868075,2096.88040807339,19.4078532625586,23.8865886308414,2.59516879849768,2.47101779739425,9041.91277509782,9.5,9.5,1715.04,0.105,3.42863228947148,5.31666689321382,1982.954545,1877.35341538462,40,12.8187139076374,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,9056.23066185517,39.68,1.88645696453219,1,0.105,1,1
9.75,278.072001100475,408.469993620118,26.4594919435964,11,192.939449541284,32252.8459990356,123.214810181895,1.40623530905373,4.50606177760654,170,1.2,10.868075,2096.88040807339,19.86169414437,24.44516202384,2.82829678945856,2.69173068824479,10186.0175638494,9.5,9.5,1715.04,0.1155,3.42863228947148,5.13349925532968,2181.2499995,2065.08875692308,40,12.6880747122429,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,8756.37951959043,39.68,1.88645696453219,2,0.105,1,1
9.75,280.682277609543,422.542435129186,28.4673969505716,12,192.939449541284,35317.282970945,120.444954412401,1.48289991088899,4.33911273966511,170,1.2,10.868075,2096.88040807339,20.3155350261814,25.0037354168387,3.06142478041944,2.91244357909533,11370.415544824,9.5,9.5,1715.04,0.126,3.42863228947148,4.96253212398018,2379.545454,2252.82409846154,40,12.5545274293177,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,8475.19853616967,39.68,1.88645696453219,3,0.105,1,1
9.75,283.29255411861,436.614876638254,30.4753019575467,13,192.939449541284,38381.5225021522,117.812630227426,1.55493297356673,4.18305495988269,170,1.2,10.868075,2096.88040807339,20.7693759079928,25.5623088098374,3.29455277138032,3.13315646994586,12589.5099663656,9.5,9.5,1715.04,0.1365,3.42863228947148,4.80258580334795,2577.8409085,2440.55944,40,12.4186235703997,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,8211.05443484766,39.68,1.88645696453219,4,0.105,1,1
9.75,285.902830627678,450.687318147321,32.4832069645219,14,192.939449541284,41563.7980536226,115.30491765,1.62483292946355,4.03721896127209,170,1.2,10.868075,2096.88040807339,21.2232167898043,26.120882202836,3.5276807623412,3.3538693607964,13839.0020786453,9.5,9.5,1715.04,0.147,3.42863228947148,4.65262793879628,2776.136363,2628.29478153846,40,12.2810505548464,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,7962.46511552959,39.68,1.88645696453219,5,0.105,1,1
9.75,288.513107136746,464.759759656389,34.491111971497,15,192.939449541284,44907.9434828683,112.91054072225,1.69347879991058,3.99209608745709,170,1.2,10.868075,2096.88040807339,21.6770576716157,26.6794555958347,3.76080875330208,3.57458225164694,15116.0570610017,9.5,9.5,1715.04,0.1575,3.42863228947148,4.51175121018154,2974.4318175,2816.03012307692,40,12.1426240462262,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,7728.11396644429,39.68,1.88645696453219,6,0.105,1,1
9.75,291.123383645813,478.832201165457,36.4990169784722,16,192.939449541284,48432.5464585469,111.658772511194,1.76115931419573,4.00181173404531,170,1.2,10.868075,2096.88040807339,22.1308985534271,27.2380289888333,3.99393674426296,3.79529514249747,16418.2972220098,9.5,9.5,1715.04,0.168,3.42863228947148,4.37915495860487,3172.727272,3003.76546461538,40,12.0035408367865,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,7506.79624997877,39.68,1.88645696453219,7,0.105,1,1
9.75,293.733660154881,492.904642674524,38.5069219854473,17,192.939449541284,52167.3344877116,109.422860493321,1.82808593697785,4.01856466119543,170,1.2,10.868075,2096.88040807339,22.5847394352385,27.796602381832,4.22706473522384,4.01600803334801,17743.4853054587,9.5,9.5,1715.04,0.1785,3.42863228947148,4.25412996050437,3371.0227265,3191.50080615385,40,11.8644317587226,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,7297.50182249764,39.68,1.88645696453219,8,0.105,1,1
9.75,296.343936663949,506.977084183592,40.5148269924225,18,192.939449541284,56045.1127256713,107.275555137609,1.8930602212502,4.03103800061549,170,1.2,10.868075,2096.88040807339,23.0385803170499,28.3551757748307,4.46019272618472,4.23672092419855,19070.0441884373,9.5,9.5,1715.04,0.189,3.42863228947148,4.13604573755063,3569.318181,3379.23614769231,40,11.7257602082894,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,7099.45400683896,39.68,1.88645696453219,9,0.105,1,1
9.75,298.954213173016,521.04952569266,42.5227319993976,19,192.939449541284,60220.4315173611,105.209761300731,1.95900540122717,4.05855798698871,170,1.2,10.868075,2096.88040807339,23.4924211988613,28.9137491678293,4.69332071714559,4.45743381504908,20434.9672214727,9.5,9.5,1715.04,0.1995,3.42863228947148,4.02433992293899,3767.6136355,3566.97148923077,40,11.5876852947923,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,6911.93478931707,39.68,1.88645696453219,10,0.105,1,1
