Run Description:,975Cf90
Run date:,01-25-23-16-20-31
Outer Diameter (in),Dry mass (lbm),Wet Mass (lbm),Mass of Propellant Tanks (lbm),Burn time (s),Expected Isp (s),Max Alt (ft),Rail Speed (ft/s),Max Mach,Max Accel (g),Chamber Pressure (psi),O/F,Total Mass Flow (lbm/s),Thrust (lbf),Height of rocket (ft),Aspect Ratio,Fuel Tank Height (ft),Ox Tank Height (ft),Burnout Altitude (ft),Fuel Tank ID (in),Ox Tank ID (in),Expected C-Star (m/s),Total Throat Radius Ablation (in),Nozzle Exit Radius (in),Thrust to Weight Ratio,Fuel Tank Volume (in^3),Ox Tank Volume (in^3),Helium Tank Volume (L),Ambient Pressure at Half Burn (psi),Fuel Tank Pressure (psi),Ox Tank Pressure (psi),Ox Run Line Velocity (ft/s),Fuel Run Line Velocity (ft/s),Ox Run Line Size,Fuel Run Line Size,Exit Pressure (psi),Combustion Temperature (K),Altitude At t=10s (ft),COPV Mass (lbm),Throat Radius (in),Vehicle Return Index,FFC (%),FFC Diameter (in),Num FFC Holes
9.75,275.461724591407,394.397552111051,24.4515869366213,10,217.056880733945,34281.4980517122,136.046189158137,1.51257561273296,5.28786089184409,170,1.2,10.868075,2358.99045908257,19.4078532625586,23.8865886308414,2.59516879849768,2.47101779739425,10099.4439735748,9.5,9.5,1715.04,0.105,3.42863228947148,5.98125025486555,1982.954545,1877.35341538462,40,12.6876106359909,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,10115.7340827156,39.68,1.88645696453219,1,0.105,1,1
9.75,278.072001100475,408.469993620118,26.4594919435964,11,217.056880733945,37884.0946658138,133.278451829207,1.60488731750484,5.08558400776532,170,1.2,10.868075,2358.99045908257,19.86169414437,24.44516202384,2.82829678945856,2.69173068824479,11413.047253044,9.5,9.5,1715.04,0.1155,3.42863228947148,5.77518666224589,2181.2499995,2065.08875692308,40,12.5364397843041,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,9785.65403118409,39.68,1.88645696453219,2,0.105,1,1
9.75,280.682277609543,422.542435129186,28.4673969505716,12,217.056880733945,41709.0946805404,130.652716159648,1.69461700635949,4.8963651657841,170,1.2,10.868075,2358.99045908257,20.3155350261814,25.0037354168387,3.06142478041944,2.91244357909533,12773.827039836,9.5,9.5,1715.04,0.126,3.42863228947148,5.5828486394777,2379.545454,2252.82409846154,40,12.381725032837,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,9475.3566707489,39.68,1.88645696453219,3,0.105,1,1
9.75,283.29255411861,436.614876638254,30.4753019575467,13,217.056880733945,45793.9451374483,128.155025482475,1.78245377497242,4.72845450455525,170,1.2,10.868075,2358.99045908257,20.7693759079928,25.5623088098374,3.29455277138032,3.13315646994586,14177.6854445852,9.5,9.5,1715.04,0.1365,3.42863228947148,5.40290902876645,2577.8409085,2440.55944,40,12.224206518512,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,9183.42201578475,39.68,1.88645696453219,4,0.105,1,1
9.75,285.902830627678,450.687318147321,32.4832069645219,14,217.056880733945,50181.7307734828,124.460147705956,1.86887775924326,4.7311305809694,170,1.2,10.868075,2358.99045908257,21.2232167898043,26.120882202836,3.5276807623412,3.3538693607964,15620.9290469705,9.5,9.5,1715.04,0.147,3.42863228947148,5.23420643114582,2776.136363,2628.29478153846,40,12.0648984144364,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,8908.39795709208,39.68,1.88645696453219,5,0.105,1,1
9.75,288.513107136746,464.759759656389,34.491111971497,15,217.056880733945,54921.7747703917,122.23395969616,1.95432507447925,4.73661205228448,170,1.2,10.868075,2358.99045908257,21.6770576716157,26.6794555958347,3.76080875330208,3.57458225164694,17100.5638420507,9.5,9.5,1715.04,0.1575,3.42863228947148,5.07572011145423,2974.4318175,2816.03012307692,40,11.9043371143199,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,8649.00499346087,39.68,1.88645696453219,6,0.105,1,1
9.75,291.123383645813,478.832201165457,36.4990169784722,16,217.056880733945,60040.9448990111,120.101096607221,2.03915253996198,4.75854623405135,170,1.2,10.868075,2358.99045908257,22.1308985534271,27.2380289888333,3.99393674426296,3.79529514249747,18613.9652948572,9.5,9.5,1715.04,0.168,3.42863228947148,4.92654932843048,3172.727272,3003.76546461538,40,11.7431854816962,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,8404.01898004769,39.68,1.88645696453219,7,0.105,1,1
9.75,293.733660154881,492.904642674524,38.5069219854473,17,217.056880733945,65588.2197825602,118.053391199498,2.12354951761065,4.77473323807542,170,1.2,10.868075,2358.99045908257,22.5847394352385,27.796602381832,4.22706473522384,4.01600803334801,20158.7197036047,9.5,9.5,1715.04,0.1785,3.42863228947148,4.78589620556742,3371.0227265,3191.50080615385,40,11.5819369287273,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,8172.284342419,39.68,1.88645696453219,8,0.105,1,1
9.75,296.343936663949,506.977084183592,40.5148269924225,18,217.056880733945,71431.6478993236,116.083870675606,2.20600565574141,4.79706546480094,170,1.2,10.868075,2358.99045908257,23.0385803170499,28.3551757748307,4.46019272618472,4.23672092419855,21709.9116353779,9.5,9.5,1715.04,0.189,3.42863228947148,4.65305145474446,3569.318181,3379.23614769231,40,11.4209231975841,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,7952.79101850935,39.68,1.88645696453219,9,0.105,1,1
9.75,298.954213173016,521.04952569266,42.5227319993976,19,217.056880733945,77757.9180623383,114.186121164742,2.29011959576429,4.83389324703706,170,1.2,10.868075,2358.99045908257,23.4924211988613,28.9137491678293,4.69332071714559,4.45743381504908,23310.3424791492,9.5,9.5,1715.04,0.1995,3.42863228947148,4.52738241330636,3767.6136355,3566.97148923077,40,11.2607436728739,335.042773932352,335.452626301844,23.9245467748363,25.2703025309208,16,16,10.5,3344.94,7744.57962148867,39.68,1.88645696453219,10,0.105,1,1
