Run Description:,asfd
Run date:,09-15-22-17-27-12
Outer Diameter (in),Dry mass (lbm),Wet Mass (lbm),Mass of Propellant Tanks (lbm),Burn time (s),Expected Isp (s),Max Alt (ft),Rail Speed (ft/s),Max Mach,Max Accel (g),Chamber Pressure (psi),O/F,Total Mass Flow (lbm/s),Thrust (lbf),Height of rocket (ft),Aspect Ratio,Fuel Tank Height (ft),Ox Tank Height (ft),Burnout Altitude (ft),Fuel Tank ID (in),Ox Tank ID (in),Expected C-Star (m/s),Total Throat Radius Ablation (in),Nozzle Exit Radius (in),Thrust to Weight Ratio,Fuel Tank Volume (in^3),Ox Tank Volume (in^3),Helium Tank Volume (L),Ambient Pressure at Half Burn (psi),Fuel Tank Pressure (psi),Ox Tank Pressure (psi),Ox Run Line Velocity (ft/s),Fuel Run Line Velocity (ft/s),Ox Run Line Size,Fuel Run Line Size,Exit Pressure (psi),Combustion Temperature (K),Altitude At t=10s (ft),COPV Mass (lbm),Throat Radius (in),Vehicle Return Index,FFC (%),FFC Diameter (in),Num FFC Holes
10,268.549241149063,483.553101470209,32.1589145268544,20,192.785321100917,54035.7972833625,103.812846142823,1.93716119505026,-3.92815534308067,170,1.1,9.9225,1912.91234862385,22.8010201304445,27.3612241565334,4.45389737829616,3.90128941881499,21349.8085125663,9.8,9.8,1719.63,0.21,3.24014707307878,3.95595094480374,3785.067,3284.87076923077,40,11.4435289446352,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6750.42180558886,39.68,1.80493481601359,1,0.105,1,1
9.5,265.054909698079,480.058770019225,33.3334734182426,20,192.785321100917,58191.7860555932,104.860343561213,2.00784190875287,4.0827172587165,170,1.1,9.9225,1912.91234862385,23.4273507983595,29.5924431137172,4.90173814301469,4.28811265534477,21793.2817640216,9.3,9.3,1719.63,0.21,3.24014707307878,3.98474617711337,3785.067,3284.87076923077,40,11.4159519489877,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6813.86265025667,39.68,1.80493481601359,2,0.105,1,1
10.5,272.736323217323,487.740183538469,31.1551945847149,20,192.785321100917,50295.3123418922,103.476135295004,1.8651367774615,-4.080980647929,170,1.1,9.9225,1912.91234862385,22.297212675769,25.4825287723074,4.07165246269317,3.57139354640915,20884.0807044597,10.3,10.3,1719.63,0.21,3.24014707307878,3.92199046374652,3785.067,3284.87076923077,40,11.4747244678499,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6678.82836064534,39.68,1.80493481601359,3,0.105,1,1
11,277.612101564167,492.615961885313,30.3010925627069,20,192.785321100917,46961.4574858737,102.939809718019,1.79273320058735,-4.21350298474214,170,1.1,9.9225,1912.91234862385,21.8937731099975,23.8841161199973,3.74314199236403,3.28813111763348,20402.1616380174,10.8,10.8,1719.63,0.21,3.24014707307878,3.88317167251921,3785.067,3284.87076923077,40,11.5091333350526,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6599.84384494395,39.68,1.80493481601359,4,0.105,1,1
11.5,283.177446116524,498.18130643767,29.579175328341,20,192.785321100917,44004.9424808832,101.339915196458,1.72073382656564,-4.31655794637323,170,1.1,9.9225,1912.91234862385,21.5733365833494,22.5113077391472,3.45906926314953,3.04343398686656,19908.9541883699,11.3,11.3,1719.63,0.21,3.24014707307878,3.83979150543094,3785.067,3284.87076923077,40,11.5466352231062,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6514.17944947208,39.68,1.80493481601359,5,0.105,1,1
10,270.39752922044,495.843639541586,33.5806745817594,21,192.785321100917,57959.1210536441,102.031117206746,2.0016712378429,3.87324093249472,170,1.1,9.9225,1912.91234862385,23.1915572480778,27.8298686976934,4.66298113609985,4.08274277864462,22727.420809137,9.8,9.8,1719.63,0.2205,3.24014707307878,3.85789429585578,3974.32035,3449.11430769231,40,11.3053361297719,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6590.24167399056,39.68,1.80493481601359,6,0.105,1,1
9.5,267.003625801097,492.449736122243,34.8324858051793,21,192.785321100917,62551.6302241922,103.015020315414,2.07543527006469,4.11786561416987,170,1.1,9.9225,1912.91234862385,23.8610100049441,30.1402231641399,5.13390838349876,4.48960162144534,23203.3234924396,9.3,9.3,1719.63,0.2205,3.24014707307878,3.88448243202836,3974.32035,3449.11430769231,40,11.2769042543919,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6648.65605229837,39.68,1.80493481601359,7,0.105,1,1
10.5,274.494026271333,499.940136592479,32.5072738570309,21,192.785321100917,53821.0106900106,101.730086677367,1.92647278017301,-4.01935525694839,170,1.1,9.9225,1912.91234862385,22.650753865113,25.8865758458434,4.26092953027227,3.73565766817405,22227.4218193349,10.3,10.3,1719.63,0.2205,3.24014707307878,3.8262828059015,3974.32035,3449.11430769231,40,11.3374972572683,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6523.83495558975,39.68,1.80493481601359,8,0.105,1,1
11,279.287683248195,504.733793569341,31.5900015504206,21,192.785321100917,50116.8385800601,101.232799043059,1.85072514395033,-4.1566250400013,170,1.1,9.9225,1912.91234862385,22.2153367654974,24.2349128350881,3.91529909198223,3.43753767351515,21708.9095182025,10.8,10.8,1719.63,0.2205,3.24014707307878,3.78994308087884,3974.32035,3449.11430769231,40,11.3734130780812,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6450.15615868861,39.68,1.80493481601359,9,0.105,1,1
11.5,284.77823692434,510.224347245486,30.8105528728147,21,192.785321100917,46828.9018793496,99.7032337483502,1.77536041297211,-4.26491026054258,170,1.1,9.9225,1912.91234862385,21.8670728569613,22.8178151550901,3.61632828186256,3.17991124176545,21178.3575963871,11.3,11.3,1719.63,0.2205,3.24014707307878,3.74915928444216,3974.32035,3449.11430769231,40,11.4124021300003,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6369.88417593331,39.68,1.80493481601359,10,0.105,1,1
