Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.567918555,0.567918555,0.567918555,0.567918555,0.567918555,0,0,0,0,14.37534046,228.8021845,228.8021845,1809796
0.02,0,0.531099326,0.531099326,0.531099326,0.531099326,0.531099326,0,0,0,0,14.37534046,228.8021845,228.8021845,3619591
0.03,0,0.504252916,0.504252916,0.504252916,0.504252916,0.504252916,0,0,0,0,14.37534046,228.8021845,228.8021845,5429386
0.04,0,0.484628276,0.484628276,0.484628276,0.484628276,0.484628276,0,0,0,0,14.37534046,228.8021845,228.8021845,7239182
0.05,0,0.475901908,0.475901908,0.475901908,0.475901908,0.475901908,0,0,0,0,14.37534046,228.8021845,228.8021845,9048978
0.06,0,0.479727267,0.479727267,0.479727267,0.479727267,0.479727267,0,0,0,0,14.37534046,228.8021845,228.8021845,10858770
0.07,0,0.480823428,0.480823428,0.480823428,0.480823428,0.480823428,0,0,0,0,14.37534046,228.8021845,228.8021845,12668570
0.08,0,0.480462027,0.480462027,0.480462027,0.480462027,0.480462027,0,0,0,0,14.37534046,228.8021845,228.8021845,14478360
0.09,0,0.479288349,0.479288349,0.479288349,0.479288349,0.479288349,0,0,0,0,14.37534046,228.8021845,228.8021845,16288160
0.1,0,0.477654224,0.477654224,0.477654224,0.477654224,0.477654224,0,0,0,0,14.37534046,228.8021845,228.8021845,18097960
0.11,0,0.475761752,0.475761752,0.475761752,0.475761752,0.475761752,0,0,0,0,14.37534046,228.8021845,228.8021845,19907750
0.12,0,0.473731543,0.473731543,0.473731543,0.473731543,0.473731543,0,0,0,0,14.37534046,228.8021845,228.8021845,21717550
0.13,0,0.471637556,0.471637556,0.471637556,0.471637556,0.471637556,0,0,0,0,14.37534046,228.8021845,228.8021845,23527340
0.14,0,0.469525947,0.469525947,0.469525947,0.469525947,0.469525947,0,0,0,0,14.37534046,228.8021845,228.8021845,25337140
0.15,0,0.467425795,0.467425795,0.467425795,0.467425795,0.467425795,0,0,0,0,14.37534046,228.8021845,228.8021845,27146930
0.16,0,0.465355335,0.465355335,0.465355335,0.465355335,0.465355335,0,0,0,0,14.37534046,228.8021845,228.8021845,28956730
0.17,0,0.463325906,0.463325906,0.463325906,0.463325906,0.463325906,0,0,0,0,14.37534046,228.8021845,228.8021845,30766520
0.18,0,0.461344216,0.461344216,0.461344216,0.461344216,0.461344216,0,0,0,0,14.37534046,228.8021845,228.8021845,32576320
0.19,0,0.459414055,0.459414055,0.459414055,0.459414055,0.459414055,0,0,0,0,14.37534046,228.8021845,228.8021845,34386120
0.2,0,0.4575372,0.4575372,0.4575372,0.4575372,0.4575372,0,0,0,0,14.37534046,228.8021845,228.8021845,36195910
0.21,0,0.455714051,0.455714051,0.455714051,0.455714051,0.455714051,0,0,0,0,14.37534046,228.8021845,228.8021845,38005700
0.22,0,0.453944149,0.453944149,0.453944149,0.453944149,0.453944149,0,0,0,0,14.37534046,228.8021845,228.8021845,39815500
0.23,0,0.452226435,0.452226435,0.452226435,0.452226435,0.452226435,0,0,0,0,14.37534046,228.8021845,228.8021845,41625300
0.24,0,0.450559509,0.450559509,0.450559509,0.450559509,0.450559509,0,0,0,0,14.37534046,228.8021845,228.8021845,43435090
0.25,0,0.448941738,0.448941738,0.448941738,0.448941738,0.448941738,0,0,0,0,14.37534046,228.8021845,228.8021845,45244890
0.26,0,0.447598202,0.447598202,0.447598202,0.447598202,0.447598202,0,0,0,0,14.37534046,228.8021845,228.8021845,47054680
0.27,0,0.446299852,0.446299852,0.446299852,0.446299852,0.446299852,0,0,0,0,14.37534046,228.8021845,228.8021845,48864480
