Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,2343237
0.02,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,4686474
0.03,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,7029711
0.04,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,9372948
0.05,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,11716190
0.06,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,14059420
0.07,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,16402660
0.08,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,18745900
0.09,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,21089130
0.1,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,23432370
0.11,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,25775610
0.12,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,28118840
0.13,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,30462080
0.14,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,32805320
0.15,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,35148560
0.16,0,0.576773478,0.576773478,0.532466403,0.576773478,0.532466403,0,0,0,0,14.0152203,292.884155,274.0271921,37491790
0.17,0,0.576773501,0.576773501,0.532466426,0.576773501,0.532466426,0,0,0,0,14.0152203,292.884155,274.0271921,39835030
0.18,0,0.576773465,0.576773465,0.53246639,0.576773465,0.53246639,0,0,0,0,14.0152203,292.884155,274.0271921,42178270
